Id,OrgId,IncidentId,AlertId,DetectorId,AlertTitle,Category,IncidentGrade,EntityType,EvidenceRole,DeviceId,Sha256,IpAddress,Url,AccountSid,AccountUpn,AccountObjectId,AccountName,DeviceName,NetworkMessageId,RegistryKey,RegistryValueName,RegistryValueData,ApplicationId,ApplicationName,OAuthApplicationId,FileName,FolderPath,ResourceIdName,OSFamily,OSVersion,CountryCode,State,City,Year,Month,Day,Hour,Minute,Second,Weekday
60129544339,221,11627,13786,1,1,InitialAccess,TruePositive,User,Impacted,98799,138268,360606,160396,54549,52208,52081,55973,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,10,20,19,9,0
1176821039204,144,12657,773109,2,2,CommandAndControl,BenignPositive,User,Impacted,98799,138268,360606,160396,65141,114294,66411,74950,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,12,17,54,7,2
1065151893663,36,922,268132,36,165,SuspiciousActivity,TruePositive,Ip,Related,98799,138268,178,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,16,4,20,12,6
188978565673,9,281,356061,95,213,Exfiltration,BenignPositive,User,Impacted,98799,138268,360606,160396,199884,300929,178289,196966,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,13,17,1,14,3
1262720386789,0,72,956936,4,3,InitialAccess,TruePositive,CloudLogonRequest,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,10,9,54,42,0
1030792152886,0,203,538783,0,0,InitialAccess,TruePositive,User,Impacted,98799,138268,360606,160396,4094,5652,4130,4416,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,4,1,24,34,1
1056561956865,19,7164,2362,23,16,CommandAndControl,BenignPositive,Ip,Related,98799,138268,82,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,6,9,24,4,3
249108104923,0,265,1327676,7,6,InitialAccess,TruePositive,User,Impacted,98799,138268,360606,160396,5958,8538,5971,6402,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,2,10,43,49,6
1271310321413,0,173,1240804,7,6,InitialAccess,TruePositive,User,Impacted,98799,138268,360606,160396,2673,3560,2689,2825,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,4,9,15,47,1
352187321017,29,1621,1796,54,33,Persistence,BenignPositive,Ip,Related,98799,138268,42767,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,4,16,54,21,1
1065151891019,1,279,74131,4,3,InitialAccess,TruePositive,User,Impacted,98799,138268,360606,160396,578,767,571,617,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,3,16,10,46,0
206158431803,7,6821,3053,21,51,Impact,FalsePositive,Ip,Related,98799,138268,1006,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,5,27,13,17,31,0
1529008359377,1237,9291,31546,13,11,InitialAccess,BenignPositive,MailCluster,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,10,16,53,29,0
773094115057,0,196,333542,0,0,InitialAccess,TruePositive,CloudLogonRequest,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,5,21,17,48,2
188978562820,0,636,320208,0,0,InitialAccess,TruePositive,Ip,Related,98799,138268,14,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,14,32,30,2024,6,7,4,46,51,4
704374638309,0,94,1317484,0,0,InitialAccess,TruePositive,User,Impacted,98799,138268,360606,160396,2207,2937,2220,2335,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,8,13,42,54,5
420906796914,923,19223,217842,11,9,InitialAccess,FalsePositive,Mailbox,Impacted,98799,138268,360606,160396,29572,29041,28677,30512,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,4,18,36,10,1
240518170220,7,6534,7612,21,85,Impact,FalsePositive,Ip,Related,98799,138268,1579,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,5,30,14,30,2,3
1005022347880,43,43993,14138,1,1,InitialAccess,BenignPositive,Mailbox,Impacted,98799,138268,360606,160396,4780,3341,4767,5094,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,16,15,31,47,6
463856470726,8,11132,284951,2,2,CommandAndControl,TruePositive,User,Impacted,98799,138268,360606,160396,30256,50541,30189,33301,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,8,21,36,44,5
1580547970070,198,3104,4522,119,99,SuspiciousActivity,BenignPositive,User,Impacted,98799,138268,360606,160396,441377,673934,425863,4314,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,4,9,43,17,1
1434519080038,62,479129,1374958,5,39,SuspiciousActivity,TruePositive,User,Impacted,98799,138268,360606,160396,5294,7469,5323,5609,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,6,5,6,17,3
1108101564153,0,319,526205,0,0,InitialAccess,TruePositive,CloudLogonRequest,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,8,1,17,22,5
154618826893,332,50448,237389,1,1,InitialAccess,BenignPositive,MailCluster,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,13,16,17,24,3
627065228645,475,168157,1533158,33,22,InitialAccess,FalsePositive,Mailbox,Impacted,98799,138268,360606,160396,130130,178760,150352,36955,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,5,17,29,4,2
1056561956622,0,90,854054,0,0,InitialAccess,TruePositive,CloudLogonRequest,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,7,7,44,38,4
506806145921,200,35747,29543,121,102,CredentialAccess,BenignPositive,User,Related,98799,138268,360606,160396,113856,182939,109725,112468,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,4,23,48,18,1
1133871367940,0,292,537284,14,12,CredentialAccess,TruePositive,CloudLogonRequest,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,3,1,27,6,0
798863918127,56,530877,1523385,25,17,InitialAccess,BenignPositive,Mailbox,Impacted,98799,138268,360606,160396,82417,86107,80068,89218,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,14,10,17,18,4
1391569405721,0,120,862750,0,0,InitialAccess,TruePositive,CloudLogonRequest,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,13,22,25,9,3
910533068436,1,217,398330,0,0,InitialAccess,TruePositive,CloudLogonRequest,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,7,9,35,24,4
489626273554,0,131,515122,0,0,InitialAccess,TruePositive,Ip,Related,98799,138268,1,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,15,13,10,2024,6,8,18,43,37,5
1073741826371,48,447769,1384221,5,72,SuspiciousActivity,BenignPositive,Ip,Related,98799,138268,31608,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,8,5,5,20,5
489626273558,0,118,1294848,0,0,InitialAccess,TruePositive,Ip,Related,98799,138268,1122,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,9,14,11,2024,6,11,12,31,5,1
317827583860,14,3424,2760,29,20,Impact,TruePositive,Ip,Related,98799,138268,1398,160396,441377,673934,425863,453297,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,5,24,17,49,30,4
146028888795,284,460,308730,0,0,InitialAccess,TruePositive,User,Impacted,98799,138268,360606,160396,398,515,384,420,153085,529644,1631,635,860,2251,3421,881,289573,117668,3586,5,66,242,1445,10630,2024,6,13,4,13,45,3
